"","Year","State","Sport","Girls Participation","Boys Participation","year_cleaned"
"4458","2014/2015","NJ","Basketball",10145,14754,2014
"4459","2014/2015","NJ","Bowling",2141,2871,2014
"4460","2014/2015","NJ","Cross Country",5767,7822,2014
"4461","2014/2015","NJ","Fencing",1166,1426,2014
"4462","2014/2015","NJ","Ice/Field Hockey",8207,0,2014
"4463","2014/2015","NJ","Football",137,24879,2014
"4464","2014/2015","NJ","Golf",1501,3841,2014
"4465","2014/2015","NJ","Gymnastics",1192,0,2014
"4466","2014/2015","NJ","Ice/Field Hockey",222,3935,2014
"4467","2014/2015","NJ","Lacrosse",10391,11105,2014
"4468","2014/2015","NJ","Skiing",133,207,2014
"4469","2014/2015","NJ","Soccer",14208,19156,2014
"4470","2014/2015","NJ","Base/Softball",12046,0,2014
"4471","2014/2015","NJ","Swimming & Diving",6322,5312,2014
"4472","2014/2015","NJ","Tennis",6762,5736,2014
"4473","2014/2015","NJ","Track and Field",10483,14339,2014
"4474","2014/2015","NJ","Track and Field",16766,19346,2014
"4475","2014/2015","NJ","Volleyball",8765,3169,2014
"4476","2014/2015","NJ","Wrestling",95,9725,2014
"4477","2014/2015","NM","Base/Softball",26,3197,2014
"4478","2014/2015","NM","Basketball",3695,4250,2014
"4479","2014/2015","NM","Bowling",243,243,2014
"4480","2014/2015","NM","Competitive Spirit Squad",1755,133,2014
"4481","2014/2015","NM","Cross Country",1424,1574,2014
"4482","2014/2015","NM","DANCE",622,16,2014
"4483","2014/2015","NM","Football",53,7241,2014
"4484","2014/2015","NM","Golf",383,689,2014
"4485","2014/2015","NM","Rodeo",56,56,2014
"4486","2014/2015","NM","Soccer",2112,2407,2014
"4487","2014/2015","NM","Base/Softball",2572,0,2014
"4488","2014/2015","NM","Swimming & Diving",710,616,2014
"4489","2014/2015","NM","Tennis",856,784,2014
"4490","2014/2015","NM","Track and Field",3585,4381,2014
"4491","2014/2015","NM","Volleyball",4197,4,2014
"4492","2014/2015","NM","Wrestling",75,1758,2014
"4493","2014/2015","NY","Badminton",1211,445,2014
"4494","2014/2015","NY","Basketball",16997,20514,2014
"4495","2014/2015","NY","Bowling",3445,4569,2014
"4496","2014/2015","NY","Competitive Spirit Squad",11157,72,2014
"4497","2014/2015","NY","Cross Country",7966,10261,2014
"4498","2014/2015","NY","Fencing",469,515,2014
"4499","2014/2015","NY","Ice/Field Hockey",7504,0,2014
"4500","2014/2015","NY","Golf",1811,7855,2014
"4501","2014/2015","NY","Gymnastics",1625,89,2014
"4502","2014/2015","NY","Ice/Field Hockey",439,3238,2014
"4503","2014/2015","NY","Lacrosse",11922,16169,2014
"4504","2014/2015","NY","Riflery",58,276,2014
"4505","2014/2015","NY","Skiing",706,873,2014
"4506","2014/2015","NY","Skiing",398,395,2014
"4507","2014/2015","NY","Soccer",22727,23669,2014
"4508","2014/2015","NY","Base/Softball",18211,0,2014
"4509","2014/2015","NY","Swimming & Diving",7854,6833,2014
"4510","2014/2015","NY","Tennis",9502,10036,2014
"4511","2014/2015","NY","Track and Field",12379,12384,2014
"4512","2014/2015","NY","Track and Field",21834,23169,2014
"4513","2014/2015","NY","Volleyball",15788,4092,2014
"4514","2014/2015","NY","Wrestling",25,13668,2014
"4515","2014/2015","NC","Basketball",8117,10774,2014
"4516","2014/2015","NC","Competitive Spirit Squad",16404,0,2014
"4517","2014/2015","NC","Cross Country",5315,6365,2014
"4518","2014/2015","NC","Golf",1344,3185,2014
"4519","2014/2015","NC","Gymnastics",255,0,2014
"4520","2014/2015","NC","Lacrosse",1953,3649,2014
"4521","2014/2015","NC","Soccer",9877,11781,2014
"4522","2014/2015","NC","Base/Softball",7762,0,2014
"4523","2014/2015","NC","Swimming & Diving",4499,3870,2014
"4524","2014/2015","NC","Tennis",4094,3925,2014
"4525","2014/2015","NC","Track and Field",4024,4880,2014
"4526","2014/2015","NC","Track and Field",9890,13640,2014
"4527","2014/2015","NC","Volleyball",9287,0,2014
"4528","2014/2015","ND","Base/Softball",8,1539,2014
"4529","2014/2015","ND","Basketball",2245,2790,2014
"4530","2014/2015","ND","Cross Country",535,568,2014
"4531","2014/2015","ND","Football",1,3003,2014
"4532","2014/2015","ND","Football",4,889,2014
"4533","2014/2015","ND","Golf",449,888,2014
"4534","2014/2015","ND","Gymnastics",121,0,2014
"4535","2014/2015","ND","Ice/Field Hockey",202,552,2014
"4536","2014/2015","ND","Soccer",522,616,2014
"4537","2014/2015","ND","Base/Softball",900,0,2014
"4538","2014/2015","ND","Swimming & Diving",345,283,2014
"4539","2014/2015","ND","Tennis",401,260,2014
"4540","2014/2015","ND","Track and Field",1798,2309,2014
"4541","2014/2015","ND","Volleyball",3067,0,2014
"4542","2014/2015","ND","Wrestling",6,772,2014
"4543","2014/2015","OH","Adapted Bowling",31,37,2014
"4544","2014/2015","OH","Adapted Soccer",53,62,2014
"4545","2014/2015","OH","Adapted Base/Softball",63,0,2014
"4546","2014/2015","OH","Archery",105,175,2014
"4547","2014/2015","OH","Badminton",48,0,2014
"4548","2014/2015","OH","Base/Softball",137,22650,2014
"4549","2014/2015","OH","Basketball",16118,23609,2014
"4550","2014/2015","OH","Bowling",3252,4035,2014
"4551","2014/2015","OH","Competitive Spirit Squad",1859,314,2014
"4552","2014/2015","OH","Crew",237,405,2014
"4553","2014/2015","OH","Cross Country",9355,10783,2014
"4554","2014/2015","OH","DANCE",2006,0,2014
"4555","2014/2015","OH","Decathlon",10,0,2014
"4556","2014/2015","OH","Drill Team",950,0,2014
"4557","2014/2015","OH","Equestrian",6,5,2014
"4558","2014/2015","OH","Fencing",64,33,2014
"4559","2014/2015","OH","Ice/Field Hockey",1126,36,2014
"4560","2014/2015","OH","Football",245,42595,2014
"4561","2014/2015","OH","Golf",3057,7241,2014
"4562","2014/2015","OH","Gymnastics",888,107,2014
"4563","2014/2015","OH","Ice/Field Hockey",23,2293,2014
"4564","2014/2015","OH","Lacrosse",3296,4540,2014
"4565","2014/2015","OH","Riflery",18,23,2014
"4566","2014/2015","OH","Rythmic Gymnastics",5,0,2014
"4567","2014/2015","OH","Skiing",11,36,2014
"4568","2014/2015","OH","Skiing",12,14,2014
"4569","2014/2015","OH","Snowboarding",18,5,2014
"4570","2014/2015","OH","Soccer",14547,16411,2014
"4571","2014/2015","OH","Base/Softball",15116,1258,2014
"4572","2014/2015","OH","Base/Softball",268,0,2014
"4573","2014/2015","OH","Soft Tennis",61,59,2014
"4574","2014/2015","OH","Swimming & Diving",6060,4991,2014
"4575","2014/2015","OH","Synchronized Swimming",89,35,2014
"4576","2014/2015","OH","Tennis",6381,5733,2014
"4577","2014/2015","OH","Track and Field",2460,2648,2014
"4578","2014/2015","OH","Track and Field",21861,24464,2014
"4579","2014/2015","OH","Volleyball",17960,2658,2014
"4580","2014/2015","OH","Water Polo",128,223,2014
"4581","2014/2015","OH","Weight Lifting",1855,1004,2014
"4582","2014/2015","OH","Wrestling",195,11114,2014
"4583","2014/2015","OK","Base/Softball",15,9780,2014
"4584","2014/2015","OK","Basketball",8467,10981,2014
"4585","2014/2015","OK","Competitive Spirit Squad",9560,35,2014
"4586","2014/2015","OK","Cross Country",2849,3004,2014
"4587","2014/2015","OK","Football",11,15072,2014
"4588","2014/2015","OK","Golf",1528,2121,2014
"4589","2014/2015","OK","Soccer",4263,4642,2014
"4590","2014/2015","OK","Base/Softball",7480,0,2014
"4591","2014/2015","OK","Base/Softball",6732,0,2014
"4592","2014/2015","OK","Swimming & Diving",723,690,2014
"4593","2014/2015","OK","Tennis",1297,1302,2014
"4594","2014/2015","OK","Track and Field",5380,6763,2014
"4595","2014/2015","OK","Volleyball",6485,0,2014
"4596","2014/2015","OK","Wrestling",4,3874,2014
"4597","2014/2015","OR","Basketball",5712,7447,2014
"4598","2014/2015","OR","Competitive Spirit Squad",2650,0,2014
"4599","2014/2015","OR","Cross Country",3006,3428,2014
"4600","2014/2015","OR","DANCE",1533,0,2014
"4601","2014/2015","OR","Football",31,13014,2014
"4602","2014/2015","OR","Football",1,783,2014
"4603","2014/2015","OR","Golf",863,1605,2014
"4604","2014/2015","OR","Soccer",5162,6151,2014
"4605","2014/2015","OR","Base/Softball",4630,0,2014
"4606","2014/2015","OR","Swimming & Diving",2392,1810,2014
"4607","2014/2015","OR","Tennis",3020,2235,2014
"4608","2014/2015","OR","Track and Field",7470,9407,2014
"4609","2014/2015","OR","Volleyball",7001,0,2014
"4610","2014/2015","OR","Wrestling",128,4626,2014
"4611","2014/2015","PA","Basketball",21360,21660,2014
"4612","2014/2015","PA","Bowling",1420,1430,2014
"4613","2014/2015","PA","Competitive Spirit Squad",4110,0,2014
"4614","2014/2015","PA","Cross Country",11400,11320,2014
"4615","2014/2015","PA","Ice/Field Hockey",9800,0,2014
"4616","2014/2015","PA","Golf",3610,5210,2014
"4617","2014/2015","PA","Gymnastics",210,0,2014
"4618","2014/2015","PA","Lacrosse",6624,6208,2014
"4619","2014/2015","PA","Riflery",490,520,2014
"4620","2014/2015","PA","Soccer",18865,20055,2014
"4621","2014/2015","PA","Base/Softball",19560,0,2014
"4622","2014/2015","PA","Swimming & Diving",9930,9540,2014
"4623","2014/2015","PA","Tennis",4824,4692,2014
"4624","2014/2015","PA","Track and Field",2865,2820,2014
"4625","2014/2015","PA","Track and Field",24400,24400,2014
"4626","2014/2015","PA","Volleyball",10422,3708,2014
"4627","2014/2015","PA","Water Polo",360,375,2014
"4628","2014/2015","RI","Base/Softball",1,1475,2014
"4629","2014/2015","RI","Basketball",983,1516,2014
"4630","2014/2015","RI","Competitive Spirit Squad",449,13,2014
"4631","2014/2015","RI","Cross Country",638,955,2014
"4632","2014/2015","RI","Ice/Field Hockey",652,0,2014
"4633","2014/2015","RI","Football",16,2903,2014
"4634","2014/2015","RI","Golf",90,432,2014
"4635","2014/2015","RI","Gymnastics",157,0,2014
"4636","2014/2015","RI","Ice/Field Hockey",201,797,2014
"4637","2014/2015","RI","Lacrosse",1058,1132,2014
"4638","2014/2015","RI","Soccer",1436,1757,2014
"4639","2014/2015","RI","Base/Softball",1028,0,2014
"4640","2014/2015","RI","Swimming & Diving",558,394,2014
"4641","2014/2015","RI","Tennis",811,726,2014
"4642","2014/2015","RI","Track and Field",1281,1435,2014
"4643","2014/2015","RI","Track and Field",1503,1590,2014
"4644","2014/2015","RI","Volleyball",1041,648,2014
"4645","2014/2015","RI","Wrestling",18,792,2014
"4646","2014/2015","SC","Basketball",4724,6722,2014
"4647","2014/2015","SC","Competitive Spirit Squad",2927,0,2014
"4648","2014/2015","SC","Cross Country",2354,3288,2014
"4649","2014/2015","SC","Golf",779,1727,2014
"4650","2014/2015","SC","Lacrosse",1214,1634,2014
"4651","2014/2015","SC","Soccer",4807,5838,2014
"4652","2014/2015","SC","Base/Softball",4907,0,2014
"4653","2014/2015","SC","Swimming & Diving",1466,1221,2014
"4654","2014/2015","SC","Tennis",1964,1479,2014
"4655","2014/2015","SC","Track and Field",5709,8009,2014
"4656","2014/2015","SC","Volleyball",4820,0,2014
"4657","2014/2015","SD","Basketball",2765,3487,2014
"4658","2014/2015","SD","Competitive Spirit Squad",702,0,2014
"4659","2014/2015","SD","Cross Country",783,977,2014
"4660","2014/2015","SD","Football",3,3413,2014
"4661","2014/2015","SD","Football",33,2087,2014
"4662","2014/2015","SD","Golf",607,1048,2014
"4663","2014/2015","SD","Gymnastics",292,0,2014
"4664","2014/2015","SD","Soccer",610,689,2014
"4665","2014/2015","SD","Tennis",258,387,2014
"4666","2014/2015","SD","Track and Field",2670,3505,2014
"4667","2014/2015","SD","Volleyball",3514,0,2014
"4668","2014/2015","SD","Wrestling",31,1299,2014
"4669","2014/2015","TN","Basketball",6052,8709,2014
"4670","2014/2015","TN","Bowling",1202,1435,2014
"4671","2014/2015","TN","Cross Country",3126,3890,2014
"4672","2014/2015","TN","Golf",874,2445,2014
"4673","2014/2015","TN","Soccer",6749,7995,2014
"4674","2014/2015","TN","Base/Softball",6221,0,2014
"4675","2014/2015","TN","Tennis",2870,2437,2014
"4676","2014/2015","TN","Track and Field",6015,7302,2014
"4677","2014/2015","TN","Volleyball",6231,0,2014
"4678","2014/2015","TN","Wrestling",170,4072,2014
"4679","2014/2015","TX","Base/Softball",251,46638,2014
"4680","2014/2015","TX","Basketball",68003,70668,2014
"4681","2014/2015","TX","Cross Country",23206,23258,2014
"4682","2014/2015","TX","Football",169,163998,2014
"4683","2014/2015","TX","Golf",8217,13589,2014
"4684","2014/2015","TX","Soccer",30015,37452,2014
"4685","2014/2015","TX","Base/Softball",32439,0,2014
"4686","2014/2015","TX","Swimming & Diving",11924,11750,2014
"4687","2014/2015","TX","Team Tennis",12936,12989,2014
"4688","2014/2015","TX","Tennis",19901,20924,2014
"4689","2014/2015","TX","Track and Field",59850,72557,2014
"4690","2014/2015","TX","Volleyball",45486,0,2014
"4691","2014/2015","TX","Wrestling",3977,11139,2014
"4692","2014/2015","UT","Adapted Soccer",89,107,2014
"4693","2014/2015","UT","Adapted Track",54,68,2014
"4694","2014/2015","UT","Basketball",2919,3661,2014
"4695","2014/2015","UT","Cross Country",1987,2604,2014
"4696","2014/2015","UT","Drill Team",1994,0,2014
"4697","2014/2015","UT","Golf",1013,1425,2014
"4698","2014/2015","UT","Soccer",3211,3706,2014
"4699","2014/2015","UT","Base/Softball",2249,0,2014
"4700","2014/2015","UT","Swimming & Diving",1837,1758,2014
"4701","2014/2015","UT","Tennis",1884,1710,2014
"4702","2014/2015","UT","Track and Field",4346,5082,2014
"4703","2014/2015","UT","Volleyball",3126,0,2014
"4704","2014/2015","UT","Wrestling",14,3284,2014
"4705","2014/2015","VT","Adapted Basketball",14,25,2014
"4706","2014/2015","VT","Adapted Bowling",30,36,2014
"4707","2014/2015","VT","Adapted Soccer",6,14,2014
"4708","2014/2015","VT","Base/Softball",65,908,2014
"4709","2014/2015","VT","Basketball",842,1042,2014
"4710","2014/2015","VT","Bowling",32,51,2014
"4711","2014/2015","VT","Competitive Spirit Squad",100,6,2014
"4712","2014/2015","VT","Cross Country",321,396,2014
"4713","2014/2015","VT","DANCE",212,8,2014
"4714","2014/2015","VT","Dance Team, Jazz",27,1,2014
"4715","2014/2015","VT","Decathlon",4,12,2014
"4716","2014/2015","VT","Drill Team",5,15,2014
"4717","2014/2015","VT","Ice/Field Hockey",580,30,2014
"4718","2014/2015","VT","Football",106,1035,2014
"4719","2014/2015","VT","Golf",96,235,2014
"4720","2014/2015","VT","Gymnastics",28,2,2014
"4721","2014/2015","VT","Heptathlon",9,0,2014
"4722","2014/2015","VT","Ice/Field Hockey",230,325,2014
"4723","2014/2015","VT","Lacrosse",545,731,2014
"4724","2014/2015","VT","RUGBY",11,14,2014
"4725","2014/2015","VT","sailing",4,0,2014
"4726","2014/2015","VT","Skiing",110,133,2014
"4727","2014/2015","VT","Skiing",351,212,2014
"4728","2014/2015","VT","Snowboarding",36,65,2014
"4729","2014/2015","VT","Soccer",1183,1269,2014
"4730","2014/2015","VT","Base/Softball",719,22,2014
"4731","2014/2015","VT","Swimming & Diving",19,10,2014
"4732","2014/2015","VT","Team Tennis",99,50,2014
"4733","2014/2015","VT","Tennis",286,175,2014
"4734","2014/2015","VT","Track and Field",170,219,2014
"4735","2014/2015","VT","Track and Field",514,544,2014
"4736","2014/2015","VT","Volleyball",113,33,2014
"4737","2014/2015","VT","Weight Lifting",10,190,2014
"4738","2014/2015","VT","Wrestling",11,161,2014
"4739","2014/2015","VA","Base/Softball",7,9317,2014
"4740","2014/2015","VA","Basketball",7569,9221,2014
"4741","2014/2015","VA","Competitive Spirit Squad",4814,90,2014
"4742","2014/2015","VA","Crew",912,989,2014
"4743","2014/2015","VA","Cross Country",5010,6373,2014
"4744","2014/2015","VA","Ice/Field Hockey",4754,0,2014
"4745","2014/2015","VA","Football",37,24152,2014
"4746","2014/2015","VA","Golf",471,2768,2014
"4747","2014/2015","VA","Gymnastics",935,9,2014
"4748","2014/2015","VA","Lacrosse",3400,4409,2014
"4749","2014/2015","VA","Soccer",8822,10187,2014
"4750","2014/2015","VA","Base/Softball",7415,0,2014
"4751","2014/2015","VA","Swimming & Diving",4161,3778,2014
"4752","2014/2015","VA","Tennis",3378,2819,2014
"4753","2014/2015","VA","Track and Field",5682,7099,2014
"4754","2014/2015","VA","Track and Field",8513,10639,2014
"4755","2014/2015","VA","Volleyball",7849,1185,2014
"4756","2014/2015","VA","Wrestling",79,6440,2014
"4757","2014/2015","WA","Basketball",8591,11145,2014
"4758","2014/2015","WA","Bowling",1091,0,2014
"4759","2014/2015","WA","Cross Country",4454,6575,2014
"4760","2014/2015","WA","Golf",2134,3081,2014
"4761","2014/2015","WA","Gymnastics",1656,0,2014
"4762","2014/2015","WA","Soccer",9232,10354,2014
"4763","2014/2015","WA","Base/Softball",7416,0,2014
"4764","2014/2015","WA","Swimming & Diving",4371,3327,2014
"4765","2014/2015","WA","Tennis",7174,4972,2014
"4766","2014/2015","WA","Track and Field",10163,13539,2014
"4767","2014/2015","WA","Volleyball",10593,0,2014
"4768","2014/2015","WA","Wrestling",1210,7482,2014
"4769","2014/2015","WV","Basketball",2095,3038,2014
"4770","2014/2015","WV","Competitive Spirit Squad",1938,0,2014
"4771","2014/2015","WV","Cross Country",825,957,2014
"4772","2014/2015","WV","Soccer",1768,1853,2014
"4773","2014/2015","WV","Base/Softball",2376,0,2014
"4774","2014/2015","WV","Swimming & Diving",635,396,2014
"4775","2014/2015","WV","Tennis",865,640,2014
"4776","2014/2015","WV","Track and Field",2627,2792,2014
"4777","2014/2015","WV","Volleyball",2405,0,2014
"4778","2014/2015","WV","Wrestling",3,1470,2014
"4779","2014/2015","WI","Basketball",11276,14362,2014
"4780","2014/2015","WI","Cross Country",6335,6983,2014
"4781","2014/2015","WI","Golf",1837,5686,2014
"4782","2014/2015","WI","Gymnastics",1192,0,2014
"4783","2014/2015","WI","Ice/Field Hockey",878,2770,2014
"4784","2014/2015","WI","Soccer",8983,10297,2014
"4785","2014/2015","WI","Base/Softball",10013,0,2014
"4786","2014/2015","WI","Swimming & Diving",3804,2662,2014
"4787","2014/2015","WI","Tennis",5461,4603,2014
"4788","2014/2015","WI","Track and Field",11848,14396,2014
"4789","2014/2015","WI","Volleyball",15141,1683,2014
"4790","2014/2015","WY","Basketball",1542,1774,2014
"4791","2014/2015","WY","Competitive Spirit Squad",631,0,2014
"4792","2014/2015","WY","Cross Country",419,565,2014
"4793","2014/2015","WY","Football",2,2614,2014
"4794","2014/2015","WY","Football",1,208,2014
"4795","2014/2015","WY","Golf",180,487,2014
"4796","2014/2015","WY","Skiing",62,68,2014
"4797","2014/2015","WY","Skiing",79,88,2014
"4798","2014/2015","WY","Soccer",877,928,2014
"4799","2014/2015","WY","Swimming & Diving",545,397,2014
"4800","2014/2015","WY","Tennis",262,248,2014
"4801","2014/2015","WY","Track and Field",492,569,2014
"4802","2014/2015","WY","Track and Field",1325,1737,2014
"4803","2014/2015","WY","Volleyball",1794,0,2014
"4804","2014/2015","WY","Wrestling",7,1119,2014
"4805","2013/2014","AL","Basketball",6184,11731,2013
"4806","2013/2014","AL","Cross Country",1361,1449,2013
"4807","2013/2014","AL","Golf",684,1484,2013
"4808","2013/2014","AL","Heptathlon",61,0,2013
"4809","2013/2014","AL","Soccer",3291,3806,2013
"4810","2013/2014","AL","Base/Softball",6206,0,2013
"4811","2013/2014","AL","Swimming & Diving",268,308,2013
"4812","2013/2014","AL","Tennis",1781,1709,2013
"4813","2013/2014","AL","Track and Field",1238,1463,2013
"4814","2013/2014","AL","Track and Field",5122,6911,2013
"4815","2013/2014","AL","Volleyball",5572,0,2013
"4816","2013/2014","AK","Base/Softball",11,698,2013
"4817","2013/2014","AK","Basketball",1830,2147,2013
"4818","2013/2014","AK","Bowling",68,84,2013
"4819","2013/2014","AK","Competitive Spirit Squad",1228,94,2013
"4820","2013/2014","AK","Cross Country",769,1141,2013
"4821","2013/2014","AK","Drill Team",13,1,2013
"4822","2013/2014","AK","Flag Football",438,3,2013
"4823","2013/2014","AK","Football",27,1950,2013
"4824","2013/2014","AK","Football",2,20,2013
"4825","2013/2014","AK","Gymnastics",120,0,2013
"4826","2013/2014","AK","Ice/Field Hockey",53,602,2013
"4827","2013/2014","AK","Mixed 6-Coed Volleyball",703,271,2013
"4828","2013/2014","AK","Riflery",129,183,2013
"4829","2013/2014","AK","Skiing",419,461,2013
"4830","2013/2014","AK","Soccer",930,1015,2013
"4831","2013/2014","AK","Base/Softball",622,3,2013
"4832","2013/2014","AK","Swimming & Diving",506,462,2013
"4833","2013/2014","AK","Tennis",211,217,2013
"4834","2013/2014","AK","Track and Field",938,1305,2013
"4835","2013/2014","AK","Volleyball",1994,274,2013
"4836","2013/2014","AK","Wrestling",165,1351,2013
"4837","2013/2014","AZ","Badminton",1156,0,2013
"4838","2013/2014","AZ","Base/Softball",15,8311,2013
"4839","2013/2014","AZ","Basketball",6626,8159,2013
"4840","2013/2014","AZ","Competitive Spirit Squad",6480,335,2013
"4841","2013/2014","AZ","Cross Country",2909,3616,2013
"4842","2013/2014","AZ","Football",109,20019,2013
"4843","2013/2014","AZ","Football",20,2601,2013
"4844","2013/2014","AZ","Golf",965,1801,2013
"4845","2013/2014","AZ","Soccer",6353,7090,2013
"4846","2013/2014","AZ","Base/Softball",6978,0,2013
"4847","2013/2014","AZ","Swimming & Diving",3332,2923,2013
"4848","2013/2014","AZ","Tennis",2731,2297,2013
"4849","2013/2014","AZ","Track and Field",6601,8944,2013
"4850","2013/2014","AZ","Volleyball",8056,1680,2013
"4851","2013/2014","AZ","Wrestling",185,6051,2013
"4852","2013/2014","AR","Archery",417,566,2013
"4853","2013/2014","AR","Basketball",4338,5497,2013
"4854","2013/2014","AR","Bowling",544,636,2013
"4855","2013/2014","AR","Competitive Spirit Squad",1759,97,2013
"4856","2013/2014","AR","Cross Country",1194,1526,2013
"4857","2013/2014","AR","Football",60,10977,2013
"4858","2013/2014","AR","Golf",695,1409,2013
"4859","2013/2014","AR","Gymnastics",73,0,2013
"4860","2013/2014","AR","Heptathlon",26,0,2013
"4861","2013/2014","AR","Pentathlon",4,4,2013
"4862","2013/2014","AR","Riflery",63,145,2013
"4863","2013/2014","AR","Soccer",1959,2381,2013
"4864","2013/2014","AR","Base/Softball",4300,0,2013
"4865","2013/2014","AR","Base/Softball",106,0,2013
"4866","2013/2014","AR","Swimming & Diving",405,381,2013
"4867","2013/2014","AR","Tennis",1027,961,2013
"4868","2013/2014","AR","Track and Field",795,985,2013
"4869","2013/2014","AR","Track and Field",3411,4274,2013
"4870","2013/2014","AR","Volleyball",2437,0,2013
"4871","2013/2014","AR","Weight Lifting",45,764,2013
"4872","2013/2014","AR","Wrestling",64,957,2013
"4873","2013/2014","CA","Adapted Bowling",10,10,2013
"4874","2013/2014","CA","Adapted Soccer",38,88,2013
"4875","2013/2014","CA","Adapted Base/Softball",28,37,2013
"4876","2013/2014","CA","Adapted Track",44,73,2013
"4877","2013/2014","CA","Archery",52,60,2013
"4878","2013/2014","CA","Badminton",5012,3604,2013
"4879","2013/2014","CA","Base/Softball",323,43481,2013
"4880","2013/2014","CA","Basketball",33471,44100,2013
"4881","2013/2014","CA","Bowling",139,211,2013
"4882","2013/2014","CA","Competitive Spirit Squad",8700,242,2013
"4883","2013/2014","CA","Crew",2376,336,2013
"4884","2013/2014","CA","Cross Country",25190,29990,2013
"4885","2013/2014","CA","Decathlon",150,141,2013
"4886","2013/2014","CA","Equestrian",465,45,2013
"4887","2013/2014","CA","Fencing",162,150,2013
"4888","2013/2014","CA","Ice/Field Hockey",3329,92,2013
"4889","2013/2014","CA","Flag Football",488,16,2013
"4890","2013/2014","CA","Football",252,103474,2013
"4891","2013/2014","CA","Football",48,2247,2013
"4892","2013/2014","CA","Golf",6950,10990,2013
"4893","2013/2014","CA","Gymnastics",1076,36,2013
"4894","2013/2014","CA","Ice/Field Hockey",48,395,2013
"4895","2013/2014","CA","Lacrosse",6039,9091,2013
"4896","2013/2014","CA","Mt. Biking",129,455,2013
"4897","2013/2014","CA","Riflery",13,20,2013
"4898","2013/2014","CA","Rodeo",98,76,2013
"4899","2013/2014","CA","RUGBY",289,1130,2013
"4900","2013/2014","CA","sailing",89,107,2013
"4901","2013/2014","CA","Skiing",206,244,2013
"4902","2013/2014","CA","Skiing",16,13,2013
"4903","2013/2014","CA","Snowboarding",149,338,2013
"4904","2013/2014","CA","Soccer",43819,48560,2013
"4905","2013/2014","CA","Base/Softball",32239,172,2013
"4906","2013/2014","CA","Base/Softball",59,4,2013
"4907","2013/2014","CA","Surfing",368,1023,2013
"4908","2013/2014","CA","Swimming & Diving",28496,23075,2013
"4909","2013/2014","CA","Tennis",22270,18931,2013
"4910","2013/2014","CA","Track and Field",44566,54066,2013
"4911","2013/2014","CA","Volleyball",40753,16242,2013
"4912","2013/2014","CA","Water Polo",14393,16263,2013
"4913","2013/2014","CA","Weight Lifting",175,1115,2013
"4914","2013/2014","CA","Wrestling",2286,27462,2013
"4915","2013/2014","CO","Base/Softball",82,8153,2013
"4916","2013/2014","CO","Basketball",7236,8922,2013
"4917","2013/2014","CO","Competitive Spirit Squad",4769,160,2013
"4918","2013/2014","CO","Cross Country",4221,4131,2013
"4919","2013/2014","CO","Ice/Field Hockey",591,0,2013
"4920","2013/2014","CO","Football",216,15357,2013
"4921","2013/2014","CO","Football",2,766,2013
"4922","2013/2014","CO","Golf",1495,2215,2013
"4923","2013/2014","CO","Gymnastics",481,0,2013
"4924","2013/2014","CO","Ice/Field Hockey",7,621,2013
"4925","2013/2014","CO","Lacrosse",1590,3615,2013
"4926","2013/2014","CO","Skiing",117,128,2013
"4927","2013/2014","CO","Skiing",76,109,2013
"4928","2013/2014","CO","Soccer",7589,7251,2013
"4929","2013/2014","CO","Base/Softball",3884,0,2013
"4930","2013/2014","CO","Swimming & Diving",4098,2071,2013
"4931","2013/2014","CO","Tennis",4437,2876,2013
"4932","2013/2014","CO","Track and Field",7375,9489,2013
"4933","2013/2014","CO","Volleyball",9234,0,2013
"4934","2013/2014","CO","Wrestling",83,5170,2013
"4935","2013/2014","CT","Base/Softball",5,6032,2013
"4936","2013/2014","CT","Basketball",4053,5333,2013
"4937","2013/2014","CT","Competitive Spirit Squad",2710,158,2013
"4938","2013/2014","CT","Cross Country",2846,3945,2013
"4939","2013/2014","CT","Ice/Field Hockey",3229,0,2013
"4940","2013/2014","CT","Football",21,10158,2013
"4941","2013/2014","CT","Golf",642,1700,2013
"4942","2013/2014","CT","Gymnastics",443,0,2013
"4943","2013/2014","CT","Ice/Field Hockey",7,1541,2013
"4944","2013/2014","CT","Lacrosse",3682,4615,2013
"4945","2013/2014","CT","Soccer",5785,6935,2013
"4946","2013/2014","CT","Base/Softball",4314,0,2013
"4947","2013/2014","CT","Swimming & Diving",2800,1987,2013
"4948","2013/2014","CT","Tennis",3209,2367,2013
"4949","2013/2014","CT","Track and Field",4901,4963,2013
"4950","2013/2014","CT","Track and Field",6981,7621,2013
"4951","2013/2014","CT","Volleyball",4544,885,2013
"4952","2013/2014","CT","Wrestling",82,2731,2013
"4953","2013/2014","DC","Air Riflery",2,8,2013
"4954","2013/2014","DC","Basketball",415,728,2013
"4955","2013/2014","DC","Bowling",70,0,2013
"4956","2013/2014","DC","Competitive Spirit Squad",120,0,2013
"4957","2013/2014","DC","Crew",119,193,2013
"4958","2013/2014","DC","Cross Country",255,392,2013
"4959","2013/2014","DC","Equestrian",5,0,2013
"4960","2013/2014","DC","Ice/Field Hockey",134,0,2013
"4961","2013/2014","DC","Flag Football",169,0,2013
"4962","2013/2014","DC","Golf",20,96,2013
"4963","2013/2014","DC","Lacrosse",291,406,2013
"4964","2013/2014","DC","None",25,79,2013
"4965","2013/2014","DC","Riflery",2,8,2013
